Block	CountA	CountB	SNVs	Haplotype
1	2	2	match	match
2	2	2	match	match
3	2	2	match	match
4	2	2	match	match
5	2	2	match	match
6	3	3	match	match
7	2	2	match	match
8	2	2	match	match
9	2	2	match	match
10	2	2	match	match
11	2	2	match	match
12	2	2	match	match
13	2	2	match	match
14	2	2	match	match
15	2	2	match	match
16	2	2	match	match
17	2	2	match	match
18	2	2	match	match
19	2	2	match	match
20	2	2	match	match
21	2	2	match	match
22	2	2	match	match
23	2	2	match	match
24	2	2	match	match
25	5	5	match	match
26	3	3	match	match
27	3	3	match	match
28	2	2	match	match
29	3	3	match	match
30	3	3	match	match
31	2	2	match	match
32	2	2	match	match
33	5	5	match	-
34	5	5	match	match
35	2	2	match	match
36	2	2	match	match
37	2	2	match	match
38	7	7	match	match
39	2	2	match	match
40	2	2	match	match
41	3	3	match	match
42	7	7	match	match
43	5	5	match	match
44	5	5	match	match
45	4	4	match	match
46	2	2	match	match
47	2	2	match	match
48	2	2	match	match
49	5	5	match	match
50	2	2	match	match
51	5	5	match	match
52	4	4	match	match
53	2	2	match	match
54	3	3	match	match
55	5	5	match	match
56	8	8	match	-
57	2	2	match	match
58	2	2	match	match
59	3	3	match	match
60	2	2	match	match
61	3	3	match	match
62	2	2	match	match
63	3	3	match	match
64	3	3	match	match
65	9	9	match	match
66	11	11	match	match
67	35	34	-	-
68	2	2	match	match
69	3	3	match	match
70	3	3	match	match
71	2	2	match	match
72	2	2	match	match
73	2	2	match	match
74	5	5	match	match
75	2	2	match	match
76	2	2	match	match
77	2	2	match	match
78	2	2	match	match
79	3	3	match	match
80	3	3	match	match
81	5	5	match	match
82	2	2	match	match
83	2	2	match	match
84	5	5	match	match
85	4	4	match	-
86	2	2	match	match
87	2	2	match	match
88	11	11	match	match
89	9	9	match	-
90	3	3	match	match
91	2	2	match	match
92	2	2	match	match
93	3	3	match	match
94	9	9	match	match
95	2	2	match	match
96	4	4	match	match
97	2	2	match	match
98	2	2	match	-
99	4	4	match	match
100	2	2	match	match
101	8	8	match	match
102	3	3	match	match
103	5	5	match	match
104	3	3	match	match
105	22	22	match	-
106	9	9	match	match
107	6	6	match	match
108	2	2	match	match
109	2	2	match	match
110	2	2	match	match
111	2	2	match	match
112	4	4	match	match
113	14	14	match	-
114	2	2	match	-
115	4	4	match	match
116	3	3	match	match
117	2	2	match	match
118	3	3	match	match
119	2	2	match	match
120	2	2	match	match
121	2	2	match	match
122	7	7	match	match
123	3	3	match	match
124	2	2	match	match
125	15	15	match	-
126	3	3	match	match
127	3	3	match	match
128	2	2	match	match
129	6	6	match	match
130	4	4	match	match
131	12	12	match	match
132	2	2	match	match
133	5	5	match	match
134	2	2	match	match
135	3	3	match	-
136	2	2	match	match
137	2	2	match	match
138	3	3	match	match
139	2	2	match	match
140	4	4	match	match
141	12	12	match	-
142	2	2	match	match
143	5	5	match	match
144	4	4	match	match
145	2	2	match	match
146	3	3	match	match
147	2	2	match	match
148	2	2	match	match
149	9	9	match	-
150	3	3	match	match
151	5	5	match	match
152	5	5	match	-
153	4	4	match	match
154	4	4	match	match
155	3	3	match	match
156	3	3	match	match
157	11	11	match	match
158	2	2	match	match
159	5	5	match	match
160	7	7	match	match
161	2	2	match	match
162	6	6	match	match
163	2	2	match	match
164	2	2	match	match
165	3	3	match	match
166	2	2	match	match
167	3	2	-	-
168	4	4	match	match
169	3	3	match	match
170	2	2	match	match
171	4	4	match	match
172	9	9	match	match
173	2	2	match	match
174	3	3	match	match
175	3	3	match	match
176	3	3	match	match
177	4	4	match	match
178	3	3	match	match
179	2	2	match	match
180	2	2	match	match
181	2	2	match	match
182	2	2	match	match
183	5	5	match	match
184	2	2	match	match
185	3	3	match	match
186	2	2	match	match
187	9	9	match	match
188	3	3	match	match
189	3	3	match	match
190	2	2	match	match
191	2	2	match	match
192	4	4	match	match
193	4	4	match	match
194	3	3	match	match
195	12	12	match	match
196	2	2	match	match
197	11	11	match	match
198	2	2	match	match
199	3	3	match	match
200	4	4	match	match
201	3	3	match	match
202	2	2	match	match
203	4	4	match	match
204	2	2	match	match
205	2	2	match	match
206	6	6	match	match
207	5	5	match	match
208	2	2	match	match
209	3	3	match	match
210	2	2	match	match
211	2	2	match	match
212	5	5	match	-
213	7	7	match	match
214	4	4	match	match
215	3	3	match	match
216	7	7	match	match
217	2	2	match	match
218	6	6	match	match
219	2	2	match	match
220	2	2	match	match
221	2	2	match	match
222	3	3	match	match
223	2	2	match	match
224	2	2	match	match
225	14	14	match	match
226	11	11	match	match
227	3	3	match	match
228	2	2	match	match
229	2	2	match	match
230	3	3	match	match
231	9	9	match	-
232	3	3	match	match
233	2	2	match	match
234	3	3	match	-
235	2	2	match	match
236	8	8	match	match
237	3	3	match	match
238	2	2	match	match
239	2	2	match	match
240	2	2	match	match
241	3	3	match	match
242	6	6	match	match
243	8	8	match	match
244	2	2	match	match
245	4	4	match	match
246	2	2	match	match
247	2	2	match	match
248	3	3	match	match
249	3	3	match	match
250	3	3	match	match
251	3	3	match	match
252	3	3	match	match
253	2	2	match	match
254	2	2	match	match
255	8	8	match	-
256	2	2	match	match
257	3	3	match	match
258	2	2	match	match
259	3	3	match	match
260	2	2	match	match
261	3	3	match	-
262	3	3	match	match
263	4	4	match	match
264	2	2	match	match
265	2	2	match	match
266	2	2	match	match
267	2	2	match	match
268	2	2	match	match
269	2	2	match	match
270	3	3	match	match
271	2	2	match	match
272	2	2	match	match
273	3	3	match	match
274	3	3	match	match
275	2	2	match	match
276	3	3	match	match
277	3	3	match	match
278	2	2	match	match
279	3	3	match	match
280	2	2	match	match
281	2	2	match	match
282	9	9	match	match
283	2	2	match	match
284	3	3	match	match
285	2	2	match	match
286	2	2	match	match
287	2	2	match	match
288	2	2	match	match
289	2	2	match	match
290	2	2	match	match
291	2	2	match	match
292	8	8	match	-
293	2	2	match	match
294	6	6	match	-
295	2	2	match	match
296	3	3	match	match
297	2	2	match	match
298	2	2	match	match
299	2	2	match	match
300	3	3	match	match
301	2	2	match	match
302	17	17	match	match
303	2	2	match	match
304	2	2	match	match
305	2	2	match	match
306	2	2	match	match
307	3	3	match	match
308	2	2	match	match
309	4	4	match	match
310	4	4	match	match
311	7	7	match	match
312	5	5	match	match
313	4	4	match	match
314	2	2	match	match
315	3	3	match	match
316	2	2	match	match
317	3	3	match	match
318	2	2	match	match
319	2	2	match	match
320	2	2	match	match
321	9	9	match	match
322	34	33	-	-
323	2	2	match	match
324	2	2	match	match
325	2	2	match	match
326	2	2	match	match
327	6	6	match	match
328	2	2	match	match
329	2	2	match	match
330	2	2	match	match
331	2	2	match	match
332	2	2	match	match
333	3	3	match	match
334	8	8	match	match
335	8	8	match	match
336	2	2	match	match
337	2	2	match	match
338	2	2	match	match
339	8	8	match	-
340	4	4	match	match
341	2	2	match	match
342	2	2	match	match
343	3	3	match	match
344	2	2	match	match
345	2	2	match	match
346	3	3	match	match
347	2	2	match	match
348	5	5	match	match
349	2	2	match	match
350	7	7	match	match
351	5	5	match	match
352	3	3	match	match
353	2	2	match	match
354	2	2	match	match
355	2	2	match	match
356	2	2	match	match
357	2	2	match	-
358	2	2	match	match
359	3	3	match	match
360	8	8	match	-
361	2	2	match	match
362	2	2	match	match
363	6	6	match	match
364	3	3	match	match
365	2	2	match	match
366	2	2	match	match
367	5	5	match	match
368	2	2	match	match
369	13	13	match	-
370	2	2	match	match
371	4	4	match	match
372	8	8	match	match
373	3	3	match	match
374	2	2	match	match
375	2	2	match	-
376	2	2	match	match
377	2	2	match	match
378	2	2	match	match
379	5	5	match	match
380	9	9	match	match
381	2	2	match	match
382	2	2	match	match
383	2	2	match	match
384	2	2	match	match
385	2	2	match	match
386	2	2	match	match
387	5	5	match	match
388	10	10	match	match
389	2	2	match	match
390	2	2	match	match
391	4	4	match	match
392	3	3	match	match
393	2	2	match	match
394	4	3	-	-
395	15	15	match	-
396	5	5	match	match
397	2	2	match	match
398	3	3	match	match
399	2	2	match	match
400	2	2	match	match
401	8	8	match	match
402	2	2	match	match
403	2	2	match	match
404	2	2	match	match
405	5	5	match	match
406	2	2	match	match
407	14	14	match	-
408	2	2	match	match
409	2	2	match	match
410	8	8	match	-
411	2	2	match	match
412	2	2	match	match
413	3	3	match	match
414	2	2	match	match
415	2	2	match	match
416	3	3	match	match
417	2	2	match	match
418	2	2	match	match
419	2	2	match	match
420	3	3	match	match
421	8	8	match	-
422	2	2	match	match
423	4	4	match	match
424	2	2	match	match
425	2	2	match	match
426	2	2	match	match
427	2	2	match	match
428	2	2	match	match
429	4	4	match	match
430	3	3	match	match
431	4	4	match	match
432	3	3	match	match
433	2	2	match	match
434	2	2	match	match
435	5	5	match	match
436	3	3	match	match
437	4	4	match	match
438	5	5	match	match
439	2	2	match	match
440	12	12	match	match
