Block	CountA	CountB	SNVs	Haplotype
2279	41	20	-	-
2280	2	2	match	match
2281	183	95	-	-
2282	2	0	-	-
2283	49	27	-	-
2284	74	31	-	-
2285	2	2	match	match
2286	31	8	-	-
2287	2	2	match	match
2288	34	20	-	-
2289	69	38	-	-
2290	2	0	-	-
2291	2	2	match	match
2292	2	2	match	match
2293	3	3	match	match
2294	14	2	-	-
2295	10	8	-	-
2296	4	0	-	-
2297	7	2	-	-
2298	3	0	-	-
2299	94	48	-	-
2300	2	0	-	-
2301	3	3	match	match
2302	44	32	-	-
2303	2	0	-	-
2304	19	13	-	-
2305	2	0	-	-
2306	7	3	-	-
2307	5	5	match	match
2308	15	5	-	-
2309	2	0	-	-
2310	6	5	-	-
2311	2	0	-	-
2312	2	0	-	-
2313	2	0	-	-
2314	3	2	-	-
2315	17	15	-	-
2316	5	5	match	match
2317	11	9	-	-
2318	7	6	-	-
2319	4	2	-	-
2320	5	4	-	-
2321	2	2	match	match
2322	2	0	-	-
2323	3	3	match	match
2324	3	2	-	-
2325	2	0	-	-
2326	5	5	match	match
2327	8	6	-	-
2328	11	11	match	match
2329	3	3	match	match
2330	4	2	-	-
2331	4	4	match	match
2332	3	3	match	match
2333	2	0	-	-
2334	13	13	match	match
2335	3	3	match	match
2336	6	6	match	match
2337	5	5	match	match
2338	11	11	match	match
2339	2	0	-	-
2340	2	2	match	match
2341	7	4	-	-
2342	8	8	match	match
2343	3	2	-	-
2344	2	2	match	match
2345	4	4	match	match
2346	13	7	-	-
2347	7	7	match	match
2348	2	0	-	-
2349	7	0	-	-
2350	2	2	match	match
2351	12	0	-	-
2352	55	32	-	-
2353	2	2	match	match
2354	15	4	-	-
2355	45	26	-	-
2356	118	64	-	-
2357	2	0	-	-
2358	2	2	match	match
2359	8	5	-	-
2360	38	25	-	-
2361	4	4	match	match
2362	5	0	-	-
2363	10	9	-	-
2364	21	13	-	-
2365	3	0	-	-
2366	5	3	-	-
2367	3	3	match	match
2368	4	4	match	match
2369	9	6	-	-
2370	50	37	-	-
2371	2	2	match	match
2372	18	15	-	-
2373	8	3	-	-
2374	40	25	-	-
2375	4	4	match	match
2376	11	10	-	-
2377	207	140	-	-
2378	3	2	-	-
2379	4	3	-	-
2380	25	5	-	-
2381	10	6	-	-
2382	419	319	-	-
2383	3	3	match	match
2384	21	20	-	-
2385	2	2	match	match
2386	2	2	match	match
2387	45	40	-	-
2388	10	10	match	match
2389	2	2	match	match
2390	2	2	match	match
2391	2	0	-	-
2392	7	7	match	match
2393	5	5	match	match
2394	44	40	-	-
2395	5	5	match	match
2396	14	11	-	-
2397	2	2	match	match
2398	6	6	match	match
2399	4	3	-	-
2400	2	2	match	match
2401	4	4	match	match
2402	26	21	-	-
2403	2	2	match	match
2404	4	4	match	match
2405	2	0	-	-
2406	3	3	match	match
2407	48	40	-	-
2408	10	9	-	-
2409	121	61	-	-
2410	5	3	-	-
2411	2	2	match	match
2412	11	5	-	-
2413	3	3	match	match
2414	2	2	match	match
2415	71	46	-	-
2416	247	116	-	-
2417	3	0	-	-
2418	2	2	match	match
2419	64	36	-	-
2420	35	7	-	-
2421	3	3	match	match
2422	4	0	-	-
2423	4	0	-	-
2424	32	10	-	-
2425	2	0	-	-
2426	21	8	-	-
2427	18	11	-	-
2428	7	4	-	-
2429	2	2	match	match
2430	2	2	match	match
2431	7	0	-	-
2432	12	4	-	-
2433	2	0	-	-
2434	4	2	-	-
2435	5	2	-	-
2436	6	2	-	-
2437	2	2	match	match
2438	16	8	-	-
2439	14	10	-	-
2440	2	2	match	match
2441	5	5	match	match
2442	39	18	-	-
2443	4	4	match	match
2444	3	2	-	-
2445	23	20	-	-
2446	4	4	match	match
2447	7	7	match	match
2448	6	5	-	-
2449	6	4	-	-
2450	2	2	match	match
2451	2	2	match	match
2452	4	4	match	match
2453	17	14	-	-
2454	2	0	-	-
2455	4	4	match	match
2456	2	2	match	match
2457	2	0	-	-
2458	7	4	-	-
2459	4	3	-	-
2460	2	0	-	-
2461	4	2	-	-
2462	39	24	-	-
2463	3	2	-	-
2464	6	5	-	-
2465	4	0	-	-
2466	4	2	-	-
2467	69	32	-	-
2468	32	23	-	-
2469	2	2	match	match
2470	52	35	-	-
2471	4	4	match	match
2472	7	3	-	-
2473	32	15	-	-
2474	75	33	-	-
2475	2	2	match	match
2476	2	2	match	match
2477	2	2	match	match
2478	34	16	-	-
2479	2	0	-	-
2480	7	6	-	-
2481	4	4	match	match
2482	2	0	-	-
2483	3	0	-	-
2484	11	7	-	-
2485	22	15	-	-
2486	29	17	-	-
2487	8	5	-	-
2488	3	3	match	match
2489	5	5	match	match
2490	4	2	-	-
2491	2	2	match	match
2492	2	2	match	match
2493	2	0	-	-
2494	38	14	-	-
2495	3	2	-	-
2496	2	0	-	-
2497	3	0	-	-
2498	5	2	-	-
2499	2	0	-	-
2500	40	20	-	-
2501	2	2	match	match
2502	2	0	-	-
2503	4	4	match	match
2504	3	3	match	match
2505	2	2	match	match
2506	4	2	-	-
2507	5	4	-	-
2508	3	2	-	-
2509	11	9	-	-
2510	6	3	-	-
2511	3	2	-	-
2512	6	5	-	-
2513	3	0	-	-
2514	2	2	match	match
2515	8	8	match	match
2516	2	2	match	match
2517	3	3	match	match
2518	2	2	match	match
2519	114	70	-	-
2520	73	42	-	-
2521	3	2	-	-
2522	2	0	-	-
2523	22	11	-	-
2524	2	0	-	-
2525	6	6	match	match
2526	2	0	-	-
2527	21	7	-	-
2528	30	16	-	-
2529	3	3	match	match
2530	3	3	match	match
2531	2	2	match	match
2532	9	9	match	match
2533	2	2	match	match
2534	9	8	-	-
2535	4	4	match	match
2536	20	11	-	-
2537	3	3	match	match
2538	2	2	match	match
2539	5	3	-	-
2540	3	3	match	match
2541	36	28	-	-
2542	15	13	-	-
2543	2	2	match	match
2544	7	6	-	-
2545	12	8	-	-
2546	2	2	match	match
2547	5	5	match	match
2548	2	0	-	-
2549	4	4	match	match
2550	3	3	match	match
2551	61	36	-	-
2552	70	42	-	-
2553	2	0	-	-
2554	23	11	-	-
2555	2	0	-	-
2556	2	0	-	-
2557	2	0	-	-
2558	6	2	-	-
2559	10	9	-	-
2560	2	2	match	match
2561	4	4	match	match
2562	2	2	match	match
2563	2	0	-	-
2564	15	13	-	-
2565	2	2	match	match
2566	2	2	match	match
2567	8	7	-	-
2568	5	4	-	-
2569	4	4	match	match
2570	6	6	match	match
2571	3	3	match	match
2572	3	3	match	match
2573	5	4	-	-
2574	8	7	-	-
2575	2	0	-	-
2576	138	77	-	-
2577	2	2	match	match
2578	2	0	-	-
